frame,tick,xcmN,vcmN,predVcm,nIsland,dxIslandSum,nProp,dxPropSum,xIsland,vIsland
1,387,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
2,774,1.750000,0.300000,0.300000,7,7.000000,1,-1.000000,1.500000,0.437500
3,1161,1.750000,0.000000,0.000000,0,0.000000,0,0.000000,1.500000,0.000000
4,1548,7.675000,5.925000,-0.375000,11,6.000000,3,-13.500000,7.125000,5.625000
5,1935,7.575000,-0.100000,-0.100000,14,-10.000000,2,8.000000,6.500000,-0.625000
6,2322,6.125000,-1.450000,-0.400000,8,-10.000000,2,2.000000,4.562500,-1.937500
7,2709,7.800000,1.675000,0.625000,5,10.000000,1,2.500000,6.500000,1.937500
8,3096,6.750000,-1.050000,0.000000,3,0.000000,2,0.000000,5.187500,-1.312500
9,3483,6.700000,-0.050000,-1.100000,3,-12.000000,2,-10.000000,4.437500,-0.750000
10,3870,7.025000,0.325000,0.325000,4,-2.000000,2,8.500000,5.625000,1.187500
11,4257,4.725000,-2.300000,0.850000,4,13.000000,2,4.000000,2.500000,-3.125000
12,4644,7.650000,2.925000,-0.225000,5,-9.000000,1,4.500000,5.875000,3.375000
13,5031,6.325000,-1.325000,-0.275000,4,-1.000000,2,-4.500000,4.500000,-1.375000
14,5418,5.800000,-0.525000,0.525000,4,5.000000,3,5.500000,3.500000,-1.000000
15,5805,5.650000,-0.150000,-0.150000,4,-4.000000,1,1.000000,3.250000,-0.250000
16,6192,7.300000,1.650000,-0.450000,4,-9.000000,0,0.000000,5.312500,2.062500
17,6579,3.650000,-3.650000,0.550000,4,23.000000,2,-12.000000,1.500000,-3.812500
18,6966,6.375000,2.725000,-0.425000,4,-11.000000,2,2.500000,4.750000,3.250000
19,7353,4.325000,-2.050000,-1.000000,4,-12.000000,3,-8.000000,2.687500,-2.062500
20,7740,6.300000,1.975000,0.925000,4,7.000000,3,11.500000,4.437500,1.750000
21,8127,5.625000,-0.675000,1.425000,2,17.000000,2,11.500000,2.875000,-1.562500
22,8514,4.900000,-0.725000,0.325000,2,3.000000,2,3.500000,1.750000,-1.125000
23,8901,4.675000,-0.225000,-0.225000,3,-4.000000,3,-0.500000,2.812500,1.062500
24,9288,5.425000,0.750000,0.750000,3,12.000000,1,3.000000,3.562500,0.750000
25,9675,4.625000,-0.800000,-0.800000,3,-12.000000,1,-4.000000,2.812500,-0.750000
26,10062,5.675000,1.050000,1.050000,3,8.000000,2,13.000000,3.312500,0.500000
27,10449,4.550000,-1.125000,-0.075000,3,-4.000000,1,2.500000,1.750000,-1.562500
28,10836,5.600000,1.050000,-1.050000,2,-17.000000,2,-4.000000,3.312500,1.562500
29,11223,4.200000,-1.400000,-1.400000,2,-17.000000,2,-11.000000,2.250000,-1.062500
30,11610,5.350000,1.150000,1.150000,2,11.000000,3,12.000000,2.937500,0.687500
31,11997,4.700000,-0.650000,-0.650000,2,-7.000000,1,-6.000000,2.500000,-0.437500
32,12384,4.075000,-0.625000,-0.625000,2,-12.000000,2,-0.500000,1.750000,-0.750000
33,12771,4.900000,0.825000,-0.225000,2,-12.000000,2,7.500000,2.312500,0.562500
34,13158,4.075000,-0.825000,0.225000,2,8.000000,2,-3.500000,1.500000,-0.812500
35,13545,4.775000,0.700000,-0.350000,2,6.000000,3,-13.000000,3.187500,1.687500
36,13932,4.550000,-0.225000,0.825000,2,6.000000,2,10.500000,2.250000,-0.937500
37,14319,4.150000,-0.400000,-0.400000,2,6.000000,2,-14.000000,2.625000,0.375000
38,14706,3.875000,-0.275000,-0.275000,2,-5.000000,0,-0.500000,2.312500,-0.312500
39,15093,3.525000,-0.350000,0.700000,2,9.000000,2,5.000000,1.562500,-0.750000
40,15480,5.500000,1.975000,-0.125000,2,-5.000000,3,2.500000,2.562500,1.000000
